,vendorid,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Duration
226,2,1,6.61,1,N,48,74,2,21.0,0.5,0.5,0.0,0.0,0.3,22.3,18
227,2,1,0.56,1,N,79,107,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,3
228,2,1,0.96,1,N,48,68,1,7.5,0.5,0.5,1.32,0.0,0.3,10.12,9
229,2,1,19.79,1,N,132,181,1,54.0,0.5,0.5,13.82,0.0,0.3,69.12,32
230,2,1,1.06,1,N,100,170,1,11.5,0.5,0.5,2.56,0.0,0.3,15.36,18
231,2,5,0.92,1,N,249,79,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,6
232,1,2,0.9,1,N,148,232,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,5
233,2,3,1.14,1,N,211,90,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96,8
234,1,1,2.5,1,N,144,261,1,11.0,0.5,0.5,2.45,0.0,0.3,14.75,11
235,2,2,0.13,1,N,170,170,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0
236,2,2,0.68,1,N,238,151,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36,2
237,2,6,1.37,1,N,97,190,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,6
238,2,1,14.64,1,N,138,101,1,41.0,0.5,0.5,8.46,0.0,0.3,50.76,25
239,1,1,18.7,2,N,132,263,1,52.0,0.0,0.5,11.7,5.76,0.3,70.26,27
240,1,1,1.8,1,N,146,7,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,6
241,2,1,5.29,1,N,132,203,2,16.5,0.5,0.5,0.0,0.0,0.3,17.8,10
242,2,1,18.45,2,N,132,68,1,52.0,0.0,0.5,13.0,5.76,0.3,71.56,40
243,2,1,0.91,1,N,186,164,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,11
244,2,1,5.0,1,N,238,246,1,18.0,0.5,0.5,3.86,0.0,0.3,23.16,18
245,2,3,0.53,1,N,75,264,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,3
246,2,1,1.3,1,N,79,4,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,6
247,2,1,1.05,1,N,237,236,1,5.5,0.5,0.5,1.02,0.0,0.3,7.82,4
248,2,1,2.22,1,N,264,264,1,12.0,0.5,0.5,3.99,0.0,0.3,17.29,15
249,2,1,2.61,1,N,41,43,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56,8
